,PLAYER_NAME,TEAM_ABBREVIATION,GP,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,POSS,FGM_PG,FGA_PG,FG_PCT,season
218,Jason Richardson,ORL,54,0.556,29.5,105.0,102.4,2.6,0.112,1.78,13.5,0.022,0.103,0.062,7.6,0.493,0.502,0.196,90.91,0.084,3021,4.5,11.0,0.408,2012
219,Jason Smith,NOH,40,0.325,23.7,98.9,100.8,-2.0,0.066,0.85,7.7,0.083,0.133,0.109,9.0,0.522,0.537,0.202,90.09,0.103,1780,4.5,8.7,0.52,2012
220,Jason Terry,DAL,63,0.54,31.7,102.2,102.1,0.0,0.204,1.78,18.4,0.008,0.067,0.038,10.3,0.513,0.54,0.228,93.31,0.108,3895,5.7,13.2,0.43,2012
221,Jason Thompson,SAC,64,0.344,25.9,105.1,107.5,-2.4,0.07,1.16,11.8,0.095,0.176,0.133,10.2,0.535,0.558,0.151,96.74,0.098,3329,3.7,6.9,0.535,2012
222,Jeff Adrien,HOU,8,0.625,7.8,82.0,94.6,-12.7,0.034,0.5,4.0,0.072,0.207,0.146,8.0,0.438,0.493,0.162,100.58,0.093,133,0.9,2.0,0.438,2012
223,Jeff Ayres,IND,20,0.65,5.3,105.7,103.4,2.3,0.063,2.0,8.9,0.101,0.2,0.147,4.4,0.417,0.435,0.162,94.37,0.076,210,0.8,1.8,0.417,2012
224,Jeff Foote,NOH,4,0.25,9.8,100.0,101.3,-1.3,0.0,0.0,0.0,0.029,0.139,0.085,25.0,0.333,0.333,0.092,93.84,-0.009,77,0.5,1.5,0.333,2012
225,Jeff Foster,IND,11,0.727,12.8,97.1,88.8,8.3,0.051,0.57,12.1,0.126,0.185,0.154,21.2,0.528,0.569,0.091,93.63,0.079,273,0.8,1.6,0.5,2012
226,Jeff Teague,ATL,66,0.606,33.1,106.6,101.0,5.6,0.231,2.4,26.6,0.01,0.066,0.038,11.1,0.514,0.551,0.188,91.41,0.101,4156,4.8,10.2,0.476,2012
227,Jeremy Evans,UTA,29,0.586,7.5,95.2,105.4,-10.2,0.099,2.6,19.1,0.091,0.137,0.115,7.4,0.643,0.632,0.109,97.37,0.115,434,0.9,1.4,0.643,2012
228,Jeremy Lin,NYK,35,0.571,26.9,104.8,97.7,7.1,0.382,1.71,26.8,0.02,0.093,0.057,15.6,0.478,0.552,0.272,96.13,0.146,1888,4.9,10.9,0.446,2012
229,Jeremy Pargo,MEM,44,0.568,9.6,85.4,99.5,-14.2,0.23,1.2,20.8,0.025,0.06,0.041,17.4,0.367,0.389,0.207,96.57,0.021,854,1.1,3.4,0.333,2012
230,Jeremy Tyler,GSW,42,0.333,13.5,98.9,109.0,-10.0,0.044,0.44,5.7,0.091,0.159,0.124,12.8,0.421,0.442,0.204,96.09,0.046,1136,2.1,5.0,0.421,2012
231,Jermaine O'Neal,BOS,25,0.44,22.8,97.8,95.1,2.7,0.029,0.48,6.1,0.072,0.177,0.126,12.7,0.433,0.468,0.131,89.34,0.061,1052,2.1,4.8,0.433,2012
232,Jerome Dyson,NOH,9,0.667,20.0,91.9,89.5,2.4,0.202,0.9,17.6,0.012,0.081,0.051,19.6,0.406,0.525,0.222,90.31,0.086,335,2.1,5.3,0.396,2012
233,Jerome Jordan,NYK,21,0.714,5.1,106.5,96.5,10.0,0.051,2.0,9.1,0.126,0.121,0.124,4.5,0.515,0.561,0.152,102.19,0.091,230,0.8,1.6,0.515,2012
234,Jerry Smith,NJN,5,0.2,9.2,83.1,94.5,-11.4,0.154,0.0,22.2,0.04,0.111,0.074,0.0,0.25,0.25,0.139,94.03,0.047,89,0.6,2.8,0.214,2012
235,Jerry Stackhouse,ATL,30,0.6,9.1,93.9,93.6,0.3,0.092,1.08,10.4,0.022,0.059,0.041,9.6,0.435,0.49,0.196,95.62,0.078,540,1.2,3.3,0.37,2012
236,Jerryd Bayless,TOR,31,0.355,22.7,101.7,105.3,-3.6,0.305,2.23,24.1,0.012,0.089,0.05,10.8,0.504,0.561,0.239,91.86,0.123,1352,3.8,8.9,0.424,2012
237,Jimmer Fredette,SAC,61,0.328,18.6,98.3,107.8,-9.6,0.155,1.61,16.9,0.014,0.049,0.031,10.5,0.473,0.495,0.203,96.77,0.061,2293,2.8,7.3,0.386,2012
238,Jimmy Butler III,CHI,42,0.714,8.5,104.0,91.8,12.2,0.061,1.0,10.5,0.061,0.085,0.073,10.5,0.418,0.526,0.143,91.11,0.084,680,0.8,1.9,0.405,2012
239,Joakim Noah,CHI,64,0.75,30.4,107.1,99.6,7.4,0.122,1.74,19.1,0.129,0.194,0.162,11.0,0.508,0.561,0.156,91.81,0.127,3725,3.9,7.7,0.508,2012
240,Jodie Meeks,PHI,66,0.53,24.9,100.8,95.3,5.5,0.049,1.86,9.3,0.01,0.086,0.048,5.0,0.513,0.551,0.147,92.88,0.074,3190,2.9,7.1,0.409,2012
241,Joe Johnson,ATL,60,0.6,35.4,106.4,100.8,5.5,0.189,2.0,17.1,0.026,0.081,0.054,8.5,0.521,0.557,0.247,90.98,0.122,4037,7.1,15.5,0.454,2012
242,Joel Anthony,MIA,64,0.703,21.1,108.0,98.3,9.7,0.009,0.2,3.8,0.085,0.111,0.099,18.8,0.559,0.598,0.078,92.86,0.053,2605,1.3,2.4,0.559,2012
243,Joel Przybilla,POR,27,0.333,16.6,103.9,108.8,-4.9,0.019,0.27,7.1,0.068,0.265,0.165,25.9,0.458,0.492,0.083,90.85,0.048,849,0.8,1.8,0.458,2012
244,Johan Petro,NJN,59,0.271,15.6,95.4,103.9,-8.5,0.085,1.18,12.5,0.071,0.18,0.122,10.5,0.421,0.452,0.153,93.44,0.067,1793,1.8,4.4,0.419,2012
245,John Lucas III,CHI,49,0.735,14.8,103.3,87.7,15.7,0.278,2.57,20.7,0.029,0.07,0.05,8.0,0.476,0.496,0.254,89.35,0.126,1355,2.9,7.3,0.399,2012
246,John Salmons,SAC,46,0.348,27.2,99.0,107.0,-8.0,0.117,2.07,18.5,0.015,0.094,0.052,8.9,0.457,0.471,0.143,95.26,0.061,2475,3.1,7.5,0.409,2012
247,John Wall,WAS,66,0.303,36.2,100.3,106.2,-6.0,0.362,2.08,28.6,0.019,0.107,0.062,13.8,0.424,0.502,0.243,94.97,0.128,4733,5.7,13.5,0.423,2012
248,Jon Brockman,MIL,35,0.457,6.8,93.8,94.2,-0.4,0.054,0.9,12.7,0.13,0.181,0.155,14.1,0.333,0.359,0.109,96.81,0.041,484,0.4,1.3,0.333,2012
249,Jon Leuer,MIL,46,0.478,12.1,102.1,100.2,1.9,0.072,1.39,10.2,0.077,0.14,0.107,7.3,0.516,0.536,0.17,96.38,0.093,1112,2.1,4.2,0.508,2012
250,Jonas Jerebko,DET,64,0.391,22.9,98.7,103.0,-4.3,0.053,0.65,7.0,0.068,0.158,0.112,10.7,0.503,0.548,0.18,90.97,0.094,2772,3.3,7.1,0.468,2012
251,Jonny Flynn,POR,29,0.379,14.3,100.4,117.3,-17.0,0.368,2.67,34.2,0.019,0.075,0.047,12.8,0.389,0.442,0.2,93.54,0.074,814,1.6,4.5,0.351,2012
252,Jordan Crawford,WAS,64,0.281,27.4,100.2,108.2,-8.0,0.188,1.35,14.8,0.024,0.073,0.048,11.0,0.446,0.488,0.275,95.37,0.087,3476,5.5,13.6,0.4,2012
253,Jordan Farmar,NJN,39,0.359,21.3,100.1,110.1,-10.0,0.299,1.9,24.0,0.009,0.073,0.039,12.6,0.554,0.592,0.22,92.89,0.118,1624,3.8,8.1,0.467,2012
254,Jordan Hamilton,DEN,26,0.538,9.9,113.1,105.1,8.0,0.114,1.25,13.4,0.046,0.184,0.12,10.7,0.509,0.508,0.215,97.01,0.102,518,1.8,4.3,0.432,2012
255,Jordan Hill,LAL,39,0.538,14.1,103.0,105.3,-2.3,0.044,0.52,6.8,0.112,0.236,0.174,13.2,0.497,0.522,0.176,94.6,0.095,1082,2.1,4.2,0.497,2012
256,Jordan Williams,NJN,43,0.233,14.8,105.8,103.2,2.6,0.027,0.48,5.0,0.103,0.151,0.126,10.6,0.507,0.544,0.144,94.89,0.08,1248,1.8,3.5,0.507,2012
257,Jose Calderon,TOR,53,0.34,33.9,101.3,105.9,-4.6,0.427,4.5,43.8,0.011,0.082,0.047,9.7,0.519,0.547,0.157,90.25,0.13,3391,4.1,9.0,0.457,2012
258,Josh Childress,PHX,34,0.471,14.5,100.9,106.4,-5.4,0.105,3.78,23.8,0.063,0.14,0.1,6.3,0.505,0.501,0.098,93.08,0.084,948,1.4,2.9,0.485,2012
259,Josh Davis,MEM,15,0.667,8.7,86.7,103.8,-17.0,0.077,2.0,15.0,0.114,0.091,0.103,7.5,0.444,0.459,0.111,97.45,0.044,264,0.7,1.8,0.37,2012
260,Josh Harrellson,NYK,37,0.486,14.6,101.6,92.4,9.1,0.033,0.55,5.7,0.083,0.182,0.131,10.4,0.49,0.505,0.146,97.39,0.1,1093,1.7,4.0,0.423,2012
261,Josh Howard,UTA,43,0.512,23.0,102.0,103.5,-1.5,0.081,0.94,9.9,0.039,0.129,0.082,10.5,0.411,0.461,0.202,93.02,0.067,1926,3.3,8.4,0.399,2012
262,Josh McRoberts,LAL,50,0.56,14.4,100.7,106.9,-6.3,0.106,1.65,23.6,0.087,0.154,0.121,14.4,0.487,0.516,0.103,92.49,0.072,1382,1.1,2.4,0.475,2012
263,Josh Selby,MEM,28,0.643,8.5,93.1,99.2,-6.1,0.197,1.03,22.1,0.009,0.055,0.032,21.3,0.361,0.403,0.194,97.91,0.024,478,0.9,2.6,0.347,2012
264,Josh Smith,ATL,66,0.606,35.3,106.0,99.8,6.2,0.196,1.57,15.5,0.061,0.219,0.141,9.9,0.47,0.499,0.278,91.57,0.147,4441,7.6,16.7,0.458,2012
265,Jrue Holiday,PHI,65,0.538,33.8,102.1,96.9,5.2,0.215,2.15,22.2,0.026,0.071,0.048,10.3,0.471,0.496,0.215,91.02,0.096,4162,5.5,12.8,0.432,2012
266,Julyan Stone,DEN,22,0.455,8.2,112.4,103.5,9.0,0.257,3.36,44.0,0.026,0.114,0.068,13.1,0.452,0.502,0.105,99.65,0.084,370,0.6,1.4,0.419,2012
267,Justin Dentmon,TOR,6,0.667,15.1,77.3,90.8,-13.5,0.256,1.43,20.8,0.0,0.084,0.042,14.6,0.393,0.424,0.198,92.6,0.043,176,1.7,4.7,0.357,2012
268,Justin Harper,ORL,14,0.5,6.0,81.2,103.0,-21.8,0.047,0.33,5.1,0.035,0.134,0.078,15.4,0.323,0.318,0.204,95.28,0.008,165,0.6,2.2,0.29,2012
269,Juwan Howard,MIA,28,0.75,6.8,82.9,96.3,-13.4,0.098,0.5,11.2,0.095,0.163,0.128,22.5,0.309,0.354,0.182,95.51,0.034,380,0.6,2.0,0.309,2012
270,Kawhi Leonard,SAS,64,0.766,24.0,107.4,102.3,5.1,0.066,1.59,12.6,0.07,0.147,0.109,7.9,0.543,0.573,0.141,94.58,0.108,3012,3.1,6.3,0.493,2012
271,Keith Benson,GSW,3,0.333,3.0,111.8,75.0,36.8,0.0,0.0,0.0,0.182,0.091,0.136,0.0,0.0,0.0,0.045,86.72,0.034,17,0.0,0.3,0.0,2012
272,Keith Bogans,NJN,5,0.2,18.7,96.6,120.0,-23.4,0.058,1.0,10.7,0.053,0.071,0.061,10.7,0.452,0.453,0.124,90.71,0.002,174,1.6,4.2,0.381,2012
273,Kelenna Azubuike,DAL,3,0.333,6.0,71.8,97.5,-25.7,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.438,0.438,0.293,105.81,-0.035,39,1.0,2.7,0.375,2012
274,Kemba Walker,CHA,66,0.106,27.2,92.6,107.4,-14.8,0.307,2.43,22.8,0.016,0.119,0.065,9.4,0.411,0.464,0.249,92.58,0.114,3459,4.3,11.6,0.366,2012
