,PLAYER_NAME,TEAM_ABBREVIATION,GP,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,POSS,FGM_PG,FGA_PG,FG_PCT,season
3935,Cam Thomas,BKN,25,0.32,31.2,114.9,120.6,-5.7,0.217,1.52,14.0,0.02,0.089,0.054,9.2,0.513,0.575,0.328,96.1,0.122,1563,8.0,18.2,0.438,2025
3936,Cam Whitmore,HOU,51,0.588,16.2,113.4,112.3,1.1,0.09,1.07,9.2,0.039,0.139,0.086,8.7,0.525,0.549,0.231,100.93,0.108,1729,3.5,7.9,0.444,2025
3937,Cameron Johnson,BKN,57,0.368,31.6,110.9,116.7,-5.8,0.179,1.96,17.2,0.03,0.113,0.07,8.8,0.582,0.632,0.224,97.41,0.124,3657,6.2,13.1,0.475,2025
3938,Cameron Payne,NYK,72,0.639,15.1,116.6,107.5,9.1,0.251,3.9,28.1,0.013,0.081,0.047,7.2,0.506,0.532,0.2,100.23,0.089,2275,2.5,6.2,0.401,2025
3939,Caris LeVert,ATL,64,0.719,24.9,120.5,113.4,7.2,0.178,2.83,22.5,0.026,0.096,0.062,7.9,0.556,0.582,0.191,103.21,0.094,3437,4.4,9.4,0.467,2025
3940,Cason Wallace,OKC,68,0.809,27.6,117.2,107.1,10.1,0.117,2.93,23.5,0.036,0.079,0.057,8.0,0.55,0.562,0.124,101.87,0.075,3967,3.4,7.2,0.474,2025
3941,Charles Bassey,SAS,36,0.389,10.4,101.6,117.5,-15.9,0.072,0.74,9.9,0.133,0.24,0.185,13.5,0.581,0.597,0.164,105.46,0.113,826,1.9,3.3,0.581,2025
3942,Chet Holmgren,OKC,32,0.813,27.4,121.7,105.6,16.1,0.091,1.13,12.1,0.054,0.208,0.136,10.8,0.554,0.599,0.214,103.83,0.122,1891,5.2,10.7,0.49,2025
3943,Chris Boucher,TOR,50,0.36,17.2,113.3,113.5,-0.2,0.057,1.14,7.0,0.077,0.175,0.125,6.2,0.586,0.615,0.208,99.28,0.126,1787,3.6,7.4,0.492,2025
3944,Chris Duarte,CHI,17,0.235,4.4,105.2,102.4,2.8,0.173,9.0,23.1,0.06,0.165,0.115,2.6,0.577,0.61,0.151,108.61,0.127,172,0.7,1.5,0.462,2025
3945,Chris Livingston,MIL,21,0.714,5.0,89.6,102.2,-12.6,0.078,0.83,11.1,0.091,0.198,0.148,13.3,0.333,0.441,0.15,104.34,0.099,230,0.4,1.3,0.333,2025
3946,Chris Paul,SAS,82,0.415,28.0,114.2,115.0,-0.8,0.342,4.69,45.0,0.014,0.11,0.062,9.6,0.547,0.58,0.137,100.48,0.102,4817,3.0,7.1,0.427,2025
3947,Christian Braun,DEN,79,0.608,33.9,122.7,114.5,8.2,0.096,2.53,17.1,0.039,0.109,0.077,6.8,0.634,0.665,0.155,101.04,0.096,5639,6.0,10.4,0.58,2025
3948,Christian Koloko,LAL,37,0.622,9.2,104.7,106.0,-1.3,0.068,1.33,15.8,0.095,0.165,0.129,11.9,0.606,0.624,0.104,101.19,0.082,721,1.1,1.8,0.606,2025
3949,Chuma Okeke,CLE,9,0.222,21.9,115.8,122.1,-6.3,0.101,5.0,25.4,0.099,0.141,0.118,5.1,0.638,0.641,0.093,99.08,0.089,405,2.2,4.4,0.5,2025
3950,Clint Capela,ATL,55,0.491,21.4,108.7,111.5,-2.7,0.073,1.32,11.4,0.132,0.238,0.183,8.7,0.559,0.564,0.16,105.23,0.117,2575,4.0,7.1,0.559,2025
3951,Coby White,CHI,74,0.473,33.1,111.5,113.9,-2.5,0.197,1.86,18.8,0.01,0.095,0.053,10.1,0.55,0.601,0.237,105.37,0.103,5375,6.9,15.1,0.453,2025
3952,Cody Martin,PHX,53,0.302,22.1,108.1,111.3,-3.2,0.128,2.06,20.6,0.041,0.136,0.088,10.0,0.485,0.509,0.142,101.2,0.08,2462,2.6,6.1,0.418,2025
3953,Cody Williams,UTA,50,0.18,21.2,103.0,118.5,-15.5,0.078,1.34,15.6,0.024,0.075,0.049,11.6,0.391,0.419,0.122,103.19,0.021,2284,1.7,5.1,0.323,2025
3954,Colby Jones,WAS,39,0.308,13.2,104.4,114.8,-10.4,0.123,1.91,20.8,0.038,0.123,0.08,10.8,0.519,0.544,0.138,99.47,0.078,1066,1.5,3.3,0.457,2025
3955,Cole Anthony,MEM,67,0.522,18.4,107.7,109.0,-1.2,0.253,1.85,21.6,0.034,0.131,0.08,11.6,0.494,0.531,0.238,97.7,0.105,2519,3.4,8.1,0.424,2025
3956,Cole Swider,TOR,10,0.5,17.0,114.2,100.5,13.7,0.022,0.75,4.3,0.026,0.119,0.072,5.7,0.468,0.465,0.155,104.92,0.046,372,2.2,6.3,0.349,2025
3957,Colin Castleton,TOR,26,0.577,16.6,106.1,108.2,-2.1,0.092,1.22,16.9,0.104,0.143,0.123,13.9,0.48,0.536,0.125,102.22,0.074,915,1.8,3.8,0.469,2025
3958,Collin Gillespie,PHX,33,0.364,14.0,115.6,118.4,-2.8,0.235,4.59,29.7,0.048,0.124,0.086,6.5,0.554,0.578,0.17,98.66,0.105,947,2.1,4.8,0.43,2025
3959,Collin Sexton,UTA,63,0.222,27.9,110.4,117.9,-7.5,0.246,1.65,18.9,0.033,0.06,0.047,11.5,0.543,0.593,0.264,101.38,0.106,3709,6.6,13.8,0.48,2025
3960,Corey Kispert,WAS,61,0.23,26.3,108.7,117.1,-8.5,0.094,1.61,13.4,0.021,0.084,0.053,8.3,0.558,0.584,0.169,102.68,0.074,3433,4.2,9.3,0.451,2025
3961,Cory Joseph,ORL,50,0.52,12.2,110.5,106.9,3.6,0.166,4.0,28.7,0.027,0.095,0.06,7.2,0.529,0.547,0.126,98.59,0.075,1252,1.2,3.1,0.403,2025
3962,Craig Porter Jr.,CLE,51,0.784,10.1,108.3,113.5,-5.2,0.191,1.87,27.0,0.037,0.085,0.063,14.4,0.589,0.61,0.155,100.91,0.091,1084,1.4,2.7,0.514,2025
3963,Cui Yongxi,BKN,5,0.4,2.1,80.8,76.0,4.8,0.0,0.0,0.0,0.0,0.2,0.095,0.0,0.143,0.19,0.296,118.62,-0.056,26,0.2,1.4,0.143,2025
3964,D'Angelo Russell,BKN,58,0.448,25.5,110.1,111.6,-1.5,0.302,2.75,26.9,0.013,0.093,0.053,9.8,0.479,0.522,0.228,99.59,0.098,3092,4.3,11.0,0.39,2025
3965,D.J. Carton,TOR,4,0.25,8.3,109.0,96.1,12.9,0.1,0.75,21.4,0.0,0.098,0.055,28.6,0.143,0.202,0.122,110.7,0.007,78,0.3,1.8,0.143,2025
3966,DaQuan Jeffries,CHA,47,0.191,22.8,106.6,118.2,-11.6,0.073,1.51,13.5,0.033,0.087,0.06,8.9,0.5,0.518,0.136,98.04,0.046,2179,2.5,6.2,0.405,2025
3967,Daeqwon Plowden,ATL,6,0.5,11.9,104.0,84.2,19.8,0.047,0.5,6.3,0.057,0.093,0.076,12.5,0.82,0.831,0.181,101.64,0.122,151,2.7,4.2,0.64,2025
3968,Daishen Nix,MIN,3,1.0,4.4,103.2,79.3,23.9,0.231,0.75,33.3,0.0,0.444,0.211,44.4,0.0,0.266,0.176,108.82,0.024,31,0.0,0.3,0.0,2025
3969,Dalano Banton,POR,67,0.418,16.7,110.2,111.8,-1.5,0.213,1.86,19.8,0.025,0.088,0.056,10.7,0.462,0.497,0.237,101.21,0.089,2353,3.0,7.6,0.391,2025
3970,Dalen Terry,CHI,73,0.452,13.5,104.0,111.6,-7.6,0.136,1.83,21.6,0.034,0.08,0.057,11.8,0.517,0.546,0.142,106.51,0.056,2188,1.6,3.7,0.448,2025
3971,Dalton Knecht,LAL,78,0.603,19.2,112.2,114.9,-2.8,0.067,1.78,9.5,0.026,0.116,0.073,5.3,0.576,0.594,0.181,98.26,0.087,3063,3.3,7.1,0.461,2025
3972,Damian Lillard,MIL,58,0.552,36.1,115.3,114.6,0.7,0.299,2.53,23.8,0.014,0.108,0.063,9.4,0.547,0.621,0.269,100.86,0.144,4407,7.7,17.1,0.448,2025
3973,Damion Baugh,CHA,15,0.067,24.7,99.5,121.8,-22.3,0.235,1.81,25.0,0.033,0.098,0.064,13.8,0.369,0.399,0.186,99.5,0.051,769,2.8,8.7,0.323,2025
3974,Damion Lee,PHX,25,0.24,5.8,104.7,98.7,6.0,0.121,1.1,10.5,0.02,0.104,0.064,9.5,0.426,0.499,0.269,104.99,0.089,318,1.1,3.0,0.365,2025
3975,Daniel Gafford,DAL,57,0.491,21.5,114.9,113.4,1.5,0.097,1.21,12.7,0.127,0.168,0.149,10.4,0.702,0.716,0.186,101.73,0.141,2597,5.0,7.1,0.702,2025
3976,Daniel Theis,NOP,38,0.263,16.3,109.3,115.2,-5.9,0.131,2.4,26.0,0.062,0.192,0.122,10.8,0.508,0.558,0.111,102.26,0.081,1331,1.6,3.4,0.473,2025
3977,Daniss Jenkins,DET,7,0.429,3.2,102.3,108.2,-5.8,0.2,3.0,20.0,0.0,0.182,0.054,6.7,0.35,0.322,0.231,97.06,0.0,43,0.4,1.4,0.3,2025
3978,Danté Exum,DAL,20,0.35,18.6,109.3,115.2,-6.0,0.22,2.55,24.8,0.01,0.074,0.042,9.7,0.563,0.589,0.193,101.4,0.083,786,3.2,6.7,0.478,2025
3979,Dario Šarić,DEN,16,0.438,13.1,97.3,108.7,-11.5,0.17,1.53,22.8,0.059,0.158,0.107,14.9,0.422,0.449,0.157,99.59,0.067,437,1.3,3.6,0.362,2025
3980,Dariq Whitehead,BKN,20,0.3,12.3,98.7,109.7,-11.1,0.078,0.8,9.6,0.015,0.105,0.056,12.0,0.578,0.58,0.189,103.67,0.065,529,2.0,4.8,0.406,2025
3981,Darius Garland,CLE,75,0.8,30.7,123.2,113.4,9.9,0.309,2.68,25.6,0.021,0.068,0.045,9.6,0.562,0.6,0.265,101.32,0.126,4865,7.4,15.7,0.472,2025
3982,David Duke Jr.,SAS,6,0.0,5.6,128.4,91.8,36.6,0.133,2.0,19.0,0.032,0.1,0.07,9.5,0.536,0.538,0.207,104.64,0.087,74,1.0,2.3,0.429,2025
3983,David Roddy,HOU,33,0.273,12.4,106.4,114.6,-8.2,0.121,1.59,18.0,0.03,0.177,0.101,11.3,0.532,0.561,0.159,104.43,0.089,890,1.7,3.8,0.456,2025
3984,Davion Mitchell,MIA,74,0.338,27.4,111.0,110.7,0.3,0.237,2.84,36.2,0.017,0.063,0.041,12.8,0.557,0.573,0.135,98.76,0.069,4164,3.0,6.4,0.468,2025
3985,Day'Ron Sharpe,BKN,50,0.28,18.1,109.2,107.1,2.1,0.158,1.44,18.1,0.149,0.202,0.174,12.5,0.538,0.568,0.186,97.35,0.134,1852,3.3,6.3,0.521,2025
3986,De'Aaron Fox,SAS,62,0.435,36.1,113.7,114.9,-1.2,0.262,2.25,21.0,0.023,0.106,0.064,9.3,0.514,0.56,0.274,102.22,0.119,4768,8.7,18.8,0.463,2025
3987,De'Andre Hunter,CLE,64,0.594,27.2,115.9,113.9,2.0,0.077,1.12,8.7,0.024,0.117,0.071,7.8,0.573,0.623,0.221,104.77,0.101,3803,5.6,11.9,0.47,2025
3988,De'Anthony Melton,BKN,6,0.667,20.2,108.3,97.4,10.9,0.205,1.7,20.0,0.046,0.104,0.075,11.8,0.528,0.539,0.223,105.54,0.091,265,3.7,9.0,0.407,2025
3989,DeAndre Jordan,DEN,56,0.661,12.3,108.8,112.1,-3.3,0.105,1.33,20.2,0.119,0.262,0.194,15.3,0.65,0.621,0.126,100.07,0.115,1440,1.6,2.5,0.65,2025
3990,DeMar DeRozan,SAC,77,0.494,35.9,116.8,115.3,1.5,0.182,3.26,17.7,0.018,0.09,0.054,5.4,0.509,0.569,0.244,99.35,0.112,5740,8.1,17.0,0.477,2025
3991,Dean Wade,CLE,59,0.797,21.2,120.0,109.4,10.7,0.073,3.45,20.1,0.041,0.15,0.097,5.8,0.561,0.563,0.101,101.1,0.067,2639,1.9,4.6,0.413,2025
3992,Deandre Ayton,POR,40,0.425,30.1,110.0,116.8,-6.9,0.083,0.93,10.2,0.099,0.243,0.168,11.0,0.573,0.583,0.197,98.94,0.125,2489,6.6,11.7,0.566,2025
3993,Dejounte Murray,NOP,31,0.29,32.6,109.0,118.1,-9.1,0.347,2.15,25.9,0.015,0.183,0.094,12.0,0.445,0.494,0.263,102.86,0.118,2165,6.3,15.9,0.393,2025
3994,Delon Wright,NYK,40,0.55,15.9,106.1,106.3,-0.2,0.162,3.5,31.8,0.042,0.061,0.051,9.1,0.42,0.44,0.111,98.84,0.061,1308,1.1,3.3,0.344,2025
3995,Deni Avdija,POR,72,0.458,30.0,113.6,114.5,-0.9,0.193,1.43,19.0,0.048,0.19,0.117,13.3,0.55,0.605,0.228,99.86,0.126,4479,5.6,11.7,0.476,2025
3996,Dennis Schröder,DET,75,0.493,28.1,111.8,112.8,-0.9,0.287,2.85,27.6,0.012,0.08,0.046,9.7,0.483,0.531,0.211,100.49,0.091,4393,4.5,11.0,0.406,2025
3997,Dereck Lively II,DAL,36,0.583,23.1,114.1,106.4,7.7,0.143,2.07,24.3,0.122,0.186,0.155,11.7,0.702,0.704,0.132,100.99,0.124,1746,3.7,5.3,0.702,2025
3998,Derrick Jones Jr.,LAC,77,0.623,24.3,115.5,108.7,6.7,0.044,0.91,7.8,0.051,0.092,0.072,8.6,0.593,0.609,0.16,99.72,0.076,3886,4.0,7.6,0.526,2025
3999,Derrick White,BOS,76,0.763,33.9,119.7,109.5,10.2,0.199,2.76,23.7,0.025,0.101,0.064,8.6,0.58,0.606,0.195,97.89,0.106,5251,5.6,12.6,0.442,2025
4000,Desmond Bane,ORL,69,0.551,32.0,116.1,113.3,2.8,0.235,2.18,22.7,0.026,0.15,0.088,10.4,0.565,0.6,0.227,104.58,0.131,4809,7.1,14.8,0.484,2025
4001,Devin Booker,PHX,75,0.467,37.3,115.3,118.5,-3.2,0.301,2.4,22.4,0.028,0.08,0.055,9.3,0.525,0.589,0.285,98.72,0.122,5752,8.7,18.9,0.461,2025
4002,Devin Carter,SAC,36,0.5,11.0,113.1,109.3,3.9,0.139,2.28,19.9,0.044,0.147,0.093,8.7,0.441,0.471,0.169,100.14,0.07,831,1.3,3.5,0.37,2025
4003,Devin Vassell,SAS,64,0.375,31.0,111.9,118.1,-6.2,0.139,2.08,15.2,0.016,0.107,0.062,7.3,0.532,0.553,0.217,100.8,0.092,4163,6.2,13.9,0.443,2025
4004,Dillon Brooks,HOU,75,0.653,31.8,113.5,108.8,4.7,0.076,1.68,11.1,0.028,0.081,0.054,6.6,0.533,0.555,0.176,98.94,0.067,4913,5.1,11.9,0.429,2025
4005,Dillon Jones,OKC,54,0.833,10.2,108.9,102.9,6.0,0.143,2.07,25.0,0.05,0.153,0.102,12.1,0.444,0.464,0.131,101.09,0.066,1164,0.9,2.5,0.383,2025
4006,Domantas Sabonis,SAC,70,0.514,34.7,116.5,113.9,2.6,0.251,2.09,25.7,0.11,0.286,0.199,12.3,0.627,0.655,0.213,99.78,0.164,5054,7.5,12.8,0.59,2025
4007,Dominick Barlow,ATL,35,0.371,10.7,110.2,111.8,-1.6,0.07,3.8,12.7,0.091,0.139,0.114,3.3,0.562,0.58,0.141,104.7,0.082,823,1.7,3.2,0.531,2025
4008,Donovan Clingan,POR,67,0.433,19.8,109.9,109.7,0.2,0.081,1.07,14.6,0.144,0.218,0.179,13.7,0.56,0.574,0.135,101.68,0.105,2801,2.7,5.0,0.539,2025
4009,Donovan Mitchell,CLE,71,0.775,31.4,119.7,109.1,10.5,0.238,2.38,18.0,0.025,0.112,0.069,7.6,0.531,0.575,0.298,102.21,0.137,4762,8.2,18.6,0.443,2025
4010,Donte DiVincenzo,MIN,62,0.597,25.9,114.2,109.1,5.1,0.203,2.27,23.8,0.02,0.115,0.068,10.5,0.568,0.582,0.188,100.17,0.1,3352,4.0,9.6,0.422,2025
4011,Dorian Finney-Smith,LAL,63,0.571,28.9,119.1,110.3,8.8,0.066,1.61,15.0,0.047,0.089,0.069,9.3,0.597,0.604,0.123,98.14,0.06,3711,3.1,6.9,0.448,2025
4012,Doug McDermott,SAC,42,0.5,8.1,111.5,109.9,1.6,0.028,1.17,5.3,0.009,0.054,0.031,4.5,0.615,0.617,0.15,101.3,0.051,728,1.2,2.8,0.427,2025
4013,Draymond Green,GSW,68,0.618,29.2,115.4,108.8,6.6,0.255,2.2,33.9,0.036,0.168,0.102,15.4,0.503,0.534,0.157,101.35,0.088,4186,3.2,7.5,0.424,2025
4014,Drew Eubanks,LAC,61,0.41,12.2,106.7,114.8,-8.1,0.11,1.32,16.7,0.078,0.211,0.145,12.7,0.601,0.622,0.149,102.72,0.111,1598,1.9,3.2,0.593,2025
4015,Drew Peterson,BOS,25,0.68,7.4,115.7,102.9,12.8,0.095,1.63,19.7,0.051,0.161,0.108,12.1,0.573,0.601,0.121,96.96,0.078,375,0.7,1.6,0.415,2025
4016,Drew Timme,BKN,9,0.333,28.2,102.8,115.5,-12.6,0.137,1.33,14.0,0.06,0.194,0.123,10.5,0.485,0.5,0.205,100.3,0.086,531,5.0,11.3,0.441,2025
4017,Dru Smith,MIA,14,0.571,19.2,107.3,100.5,6.8,0.128,1.35,21.5,0.042,0.086,0.064,15.9,0.639,0.656,0.131,100.58,0.082,562,2.2,4.4,0.508,2025
4018,Duncan Robinson,MIA,74,0.405,24.1,110.1,109.9,0.2,0.148,2.05,18.6,0.01,0.084,0.047,9.1,0.581,0.595,0.187,97.68,0.078,3661,3.9,9.0,0.437,2025
4019,Duop Reath,POR,46,0.413,10.2,108.0,114.5,-6.5,0.083,1.63,11.9,0.082,0.111,0.095,7.3,0.524,0.552,0.162,102.71,0.077,1009,1.5,3.6,0.422,2025
4020,Dwight Powell,DAL,55,0.455,10.0,108.6,109.7,-1.1,0.13,3.06,36.2,0.084,0.131,0.107,11.8,0.705,0.713,0.073,102.17,0.073,1172,0.8,1.1,0.689,2025
4021,Dyson Daniels,ATL,76,0.487,33.8,113.3,114.2,-0.9,0.174,2.15,22.6,0.046,0.127,0.085,10.5,0.536,0.545,0.178,104.17,0.099,5574,6.0,12.1,0.493,2025
4022,E.J. Liddell,CHI,12,0.5,4.4,117.9,126.4,-8.6,0.064,1.5,14.3,0.065,0.102,0.086,9.5,0.633,0.661,0.13,110.79,0.047,123,0.7,1.3,0.533,2025
4023,Elfrid Payton,NOP,24,0.125,21.3,99.7,113.1,-13.4,0.443,2.81,47.4,0.027,0.114,0.071,16.9,0.332,0.34,0.151,101.3,0.079,1076,1.7,5.1,0.328,2025
4024,Elijah Harkless,UTA,10,0.1,13.8,113.2,103.5,9.7,0.073,2.67,16.3,0.058,0.092,0.074,6.1,0.414,0.425,0.12,99.3,0.037,287,1.1,3.5,0.314,2025
4025,Emanuel Miller,CHI,6,0.667,4.1,120.4,130.4,-10.0,0.105,0.0,18.2,0.167,0.138,0.151,0.0,0.5,0.563,0.143,106.74,0.092,54,0.7,1.3,0.5,2025
4026,Emoni Bates,CLE,10,0.9,7.5,89.0,110.5,-21.5,0.2,4.0,16.7,0.0,0.075,0.036,4.2,0.487,0.487,0.201,104.3,0.08,163,1.3,3.8,0.342,2025
4027,Enrique Freeman,IND,22,0.318,8.2,104.4,110.7,-6.3,0.062,1.5,15.0,0.054,0.106,0.078,10.0,0.446,0.507,0.109,107.55,0.04,409,0.7,1.7,0.432,2025
4028,Eric Gordon,PHI,39,0.308,19.7,111.0,116.4,-5.4,0.118,2.32,20.5,0.011,0.052,0.031,8.8,0.564,0.591,0.14,99.62,0.067,1601,2.2,5.2,0.426,2025
4029,Evan Mobley,CLE,71,0.817,30.5,120.5,108.6,11.9,0.149,1.56,16.1,0.076,0.213,0.147,10.3,0.604,0.633,0.226,102.16,0.151,4609,7.1,12.8,0.557,2025
4030,Franz Wagner,ORL,60,0.55,33.7,111.8,105.8,6.0,0.247,2.06,16.5,0.027,0.146,0.085,8.0,0.507,0.558,0.306,97.65,0.153,4116,9.0,19.4,0.463,2025
4031,Fred VanVleet,HOU,60,0.683,35.2,115.0,108.8,6.2,0.217,3.83,27.0,0.014,0.089,0.049,7.1,0.483,0.515,0.176,98.18,0.093,4316,4.8,12.7,0.378,2025
4032,GG Jackson,MEM,29,0.655,15.8,112.7,118.6,-5.9,0.085,0.94,10.5,0.055,0.13,0.093,11.2,0.452,0.482,0.219,102.73,0.064,977,2.6,6.9,0.372,2025
4033,Gabe Vincent,LAL,72,0.639,21.2,111.8,110.7,1.1,0.09,2.39,17.2,0.013,0.045,0.029,7.2,0.53,0.536,0.131,100.07,0.039,3190,2.3,5.8,0.4,2025
4034,Garrett Temple,TOR,28,0.393,8.1,106.6,111.1,-4.5,0.171,3.1,29.0,0.036,0.09,0.061,9.3,0.35,0.406,0.129,105.94,0.051,498,0.6,2.1,0.3,2025
4035,Garrison Mathews,ATL,47,0.447,17.6,107.9,111.4,-3.5,0.102,1.94,16.0,0.015,0.085,0.049,8.2,0.562,0.606,0.153,105.43,0.068,1824,2.2,5.5,0.397,2025
4036,Gary Harris,ORL,48,0.583,14.8,110.4,103.2,7.2,0.058,1.76,16.3,0.026,0.063,0.044,9.2,0.519,0.524,0.09,99.58,0.043,1465,1.1,2.8,0.383,2025
4037,Gary Payton II,GSW,62,0.581,15.0,113.5,110.1,3.4,0.132,2.13,19.1,0.056,0.134,0.096,9.0,0.626,0.635,0.156,102.12,0.104,1963,2.8,4.8,0.574,2025
4038,Gary Trent Jr.,MIL,74,0.595,25.6,115.9,114.0,1.9,0.064,2.07,10.6,0.011,0.074,0.044,5.1,0.568,0.591,0.168,100.75,0.07,3972,3.8,8.9,0.431,2025
4039,Georges Niang,ATL,79,0.696,21.5,118.7,114.1,4.7,0.087,1.35,13.2,0.027,0.126,0.077,9.8,0.595,0.607,0.177,102.45,0.071,3633,3.6,7.8,0.461,2025
4040,Giannis Antetokounmpo,MIL,67,0.597,34.2,118.9,111.7,7.2,0.339,2.1,19.2,0.067,0.266,0.172,9.1,0.607,0.625,0.346,100.18,0.21,4772,11.8,19.7,0.601,2025
4041,Goga Bitadze,ORL,70,0.543,20.4,110.1,107.4,2.7,0.142,1.9,22.6,0.116,0.227,0.169,11.9,0.615,0.631,0.142,95.8,0.134,2855,3.0,4.8,0.611,2025
4042,Gradey Dick,TOR,54,0.278,29.4,110.3,116.1,-5.8,0.087,1.18,10.9,0.027,0.092,0.059,9.3,0.498,0.543,0.209,101.36,0.071,3345,4.9,12.0,0.41,2025
4043,Grant Williams,CHA,16,0.375,29.9,114.9,113.3,1.6,0.107,1.32,18.0,0.035,0.134,0.083,13.6,0.549,0.596,0.146,99.95,0.076,995,3.4,7.7,0.439,2025
4044,Grayson Allen,PHX,64,0.453,24.1,114.7,118.0,-3.3,0.125,1.83,18.2,0.023,0.103,0.064,10.0,0.6,0.631,0.169,100.84,0.084,3255,3.4,7.6,0.448,2025
4045,Guerschon Yabusele,PHI,70,0.329,27.1,113.5,116.7,-3.2,0.114,1.7,17.2,0.07,0.149,0.108,10.1,0.593,0.616,0.163,97.28,0.092,3842,4.0,8.0,0.501,2025
4046,Gui Santos,GSW,56,0.643,13.6,117.8,107.3,10.6,0.138,1.9,25.1,0.085,0.127,0.106,13.2,0.553,0.575,0.126,99.78,0.073,1582,1.5,3.2,0.458,2025
4047,Harrison Barnes,SAS,82,0.415,27.2,114.5,115.6,-1.2,0.085,2.72,14.2,0.042,0.091,0.067,5.2,0.622,0.656,0.157,100.08,0.092,4662,4.2,8.3,0.508,2025
4048,Harrison Ingram,SAS,5,0.0,7.0,132.0,92.0,40.0,0.086,3.0,37.5,0.067,0.175,0.129,12.5,0.5,0.5,0.06,103.6,0.08,75,0.4,0.8,0.5,2025
4049,Haywood Highsmith,MIA,74,0.473,24.6,111.8,110.4,1.4,0.084,2.07,19.5,0.04,0.098,0.069,9.4,0.572,0.583,0.111,97.33,0.057,3691,2.4,5.3,0.458,2025
4050,Herbert Jones,NOP,20,0.25,32.4,111.8,112.5,-0.7,0.134,1.86,22.3,0.033,0.085,0.059,12.0,0.5,0.541,0.146,100.76,0.062,1356,3.8,8.6,0.436,2025
4051,Hunter Tyson,DEN,51,0.588,7.8,98.5,108.7,-10.2,0.074,1.43,12.0,0.055,0.124,0.088,8.4,0.471,0.506,0.146,104.6,0.057,867,0.9,2.4,0.375,2025
4052,Immanuel Quickley,TOR,33,0.364,27.8,109.0,110.7,-1.6,0.32,3.29,25.7,0.016,0.107,0.06,7.8,0.517,0.57,0.246,101.44,0.128,1936,5.6,13.3,0.42,2025
4053,Isaac Jones,SAC,40,0.475,7.6,104.6,115.1,-10.5,0.057,0.75,9.5,0.071,0.12,0.095,12.7,0.669,0.678,0.152,102.68,0.087,652,1.4,2.1,0.651,2025
4054,Isaac Okoro,CLE,55,0.8,19.1,122.1,109.7,12.5,0.078,2.96,17.9,0.047,0.072,0.06,6.1,0.569,0.587,0.124,100.08,0.057,2187,2.3,4.9,0.464,2025
4055,Isaiah Collier,UTA,71,0.197,25.9,108.3,118.6,-10.4,0.342,2.14,34.9,0.017,0.104,0.061,16.3,0.459,0.494,0.186,102.44,0.077,3927,3.3,7.8,0.422,2025
4056,Isaiah Crawford,SAC,15,0.467,3.0,112.0,92.7,19.3,0.029,1.0,6.7,0.023,0.149,0.088,6.7,0.5,0.509,0.122,103.01,0.07,100,0.3,0.7,0.455,2025
4057,Isaiah Hartenstein,OKC,57,0.86,27.9,118.3,105.3,13.0,0.177,2.27,25.8,0.103,0.262,0.185,11.3,0.581,0.599,0.165,101.56,0.138,3355,4.9,8.4,0.581,2025
4058,Isaiah Jackson,IND,5,0.2,16.8,112.5,107.1,5.4,0.079,1.0,12.5,0.126,0.168,0.149,12.5,0.609,0.6,0.164,105.29,0.095,184,2.8,4.6,0.609,2025
4059,Isaiah Joe,OKC,74,0.851,21.7,119.9,104.1,15.8,0.096,3.13,15.6,0.025,0.089,0.058,5.0,0.604,0.617,0.166,102.23,0.089,3420,3.5,7.9,0.44,2025
4060,Isaiah Mobley,PHI,1,0.0,17.4,92.7,110.0,-17.3,0.556,0.0,38.5,0.04,0.158,0.091,0.0,0.357,0.381,0.17,111.94,0.099,41,2.0,7.0,0.286,2025
4061,Isaiah Stevens,MIA,3,1.0,1.9,61.5,30.8,30.8,0.0,0.0,0.0,0.0,0.222,0.125,0.0,0.0,0.0,0.143,112.43,0.125,13,0.0,0.7,0.0,2025
4062,Isaiah Stewart,DET,72,0.528,19.9,109.1,108.6,0.5,0.12,1.81,22.7,0.086,0.17,0.129,12.5,0.586,0.616,0.121,101.75,0.096,3036,2.4,4.4,0.559,2025
4063,Isaiah Wong,CHA,20,0.1,13.3,100.0,102.6,-2.6,0.187,1.56,16.8,0.051,0.071,0.06,10.8,0.452,0.5,0.22,98.35,0.077,548,2.1,5.3,0.39,2025
4064,Ivica Zubac,LAC,80,0.625,32.8,116.5,107.1,9.4,0.121,1.69,15.5,0.122,0.271,0.199,9.2,0.628,0.641,0.192,98.55,0.157,5392,7.4,11.8,0.628,2025
4065,JD Davison,BOS,16,0.813,5.8,91.7,105.4,-13.7,0.277,1.0,20.6,0.02,0.118,0.067,20.6,0.412,0.445,0.228,94.28,0.079,181,0.8,2.1,0.353,2025
4066,JT Thor,WAS,20,0.5,12.5,95.3,115.3,-20.0,0.04,0.67,7.1,0.07,0.101,0.085,10.6,0.475,0.517,0.132,98.57,0.065,515,1.3,3.0,0.424,2025
4067,Ja Morant,MEM,50,0.6,30.4,116.4,109.6,6.8,0.355,1.97,23.1,0.021,0.101,0.062,11.8,0.504,0.563,0.312,105.74,0.141,3346,8.1,17.8,0.454,2025
